0,"Janak Mallik",janaktoy@gmail.com,01793711207,"Lets talk about work"
1,"tony stark",available@tonystark.com,01793711207,"Lets talk about work"
2,"Janak Mallik",janakmallik10@gmail.com,01793711207,"Lets talk about work"
3,dipto,dipto@gmail.com,01793711207,"Lets talk about work"
4,"Elon Musk",available@elon.com,01793711207,"Lets talk about work"
5,"Jack Dorsey",hello@Dorsey.edu,01793711207,"Lets talk about work"
6,"Larry Page",Page@google.com,01793711207,"Lets talk about work"
7,"Jack Dorsey",Dorsey@twitter.com,01793711207,"Lets talk about work"
8,"Bill Gates",gates@ms.com,01793711207,"Lets talk about work"
9,"Bill Gates",gates@ms.com,01793711207,"Lets talk about work"
10,"tony stark",tony@stark.com,01793711207,"Lets talk about work"
11,"tony stark",tony@stark.com,01793711207,"Lets talk about work"
12,"tony stark",tony@stark.com,01793711207,gg
13,"Elon Musk",elon@tesla.com,01793711207,gg
14,"Bill Gates",gates@ms.com,01793711207,gg
15,"Bill Gates",gates@ms.com,01793711207,gg
16,"Bernard Arnault",Bernard@Arnault.com,01793711207,gg
17,"Warren Buffett",Warren@Buffett.com,01793711207,gg
18,"Bill Gates",gates@ms.com,01793711207,gg
19,"tony stark",tony@stark.com,01793711207,gg
20,"Bill Gates",gates@ms.com,01793711207,gg
21,"Warren Buffett",tony@stark.com,01793711207,gg
